"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,25250,,
"AUT","Austria","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,309637,,
"BEL","Belgium","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,447607,,
"DNK","Denmark","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,149864,,
"FIN","Finland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,230032,,
"FRA","France","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,298639,,
"DEU","Germany","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,304317,,
"GRC","Greece","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,148323,,
"HUN","Hungary","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,150296,,
"IRL","Ireland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,370341,,
"ITA","Italy","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,295020,,
"LUX","Luxembourg","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,941162,,
"NLD","Netherlands","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,248599,,
"NOR","Norway","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,268358,,
"POL","Poland","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,233221,,
"PRT","Portugal","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,255303,,
"SVK","Slovak Republic","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,171425,,
"ESP","Spain","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,366534,,
"GBR","United Kingdom","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,524422,,
"EST","Estonia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,188627,,
"LVA","Latvia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,79245,,
"SVN","Slovenia","IW_HNFW","Household net wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,233286,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"FRA","France","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,77,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,56,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,58,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,81,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"FRA","France","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,65,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,70,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,82,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,67,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,84,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"FRA","France","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,73,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,47,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,63,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,49,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,64,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,74,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,73,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,62,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,57,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,74,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,76,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"LVA","Latvia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.3,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.3,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.6,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.9,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,10.8,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.7,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.8,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.7,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.6,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.3,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,3,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,5,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.7,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"LVA","Latvia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.2,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.9,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.5,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,2.5,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.5,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.7,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.3,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,3,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.4,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,8.8,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.2,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.8,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.3,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,4.4,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.6,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.9,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,0.6,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,2.2,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,3,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,4.1,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.6,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.1,,
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.3,,
"LVA","Latvia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,2.7,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,1.5,,
"AUT","Austria","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.2,,
"BEL","Belgium","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.1,,
"CZE","Czech Republic","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.6,,
"DNK","Denmark","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.2,,
"FIN","Finland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.1,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.9,,
"DEU","Germany","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,,
"GRC","Greece","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,13.4,,
"HUN","Hungary","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.1,,
"ISL","Iceland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.5,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,,
"ITA","Italy","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.3,,
"LUX","Luxembourg","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.9,,
"NLD","Netherlands","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,,
"NOR","Norway","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.8,,
"POL","Poland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.7,,
"PRT","Portugal","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.4,,
"SVK","Slovak Republic","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,3,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,6.1,,
"SWE","Sweden","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.8,,
"GBR","United Kingdom","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.7,,
"EST","Estonia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1,,
"LVA","Latvia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.7,,
"SVN","Slovenia","JE_LTUR","Long-term unemployment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.4,,
"AUT","Austria","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,53132,,
"BEL","Belgium","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,54327,,
"CZE","Czech Republic","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29885,,
"DNK","Denmark","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,58430,,
"FIN","Finland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,46230,,
"FRA","France","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,45581,,
"DEU","Germany","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,53745,,
"GRC","Greece","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27207,,
"HUN","Hungary","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,25409,,
"ISL","Iceland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,67488,,
"IRL","Ireland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,49474,,
"ITA","Italy","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,37769,,
"LUX","Luxembourg","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,65854,,
"NLD","Netherlands","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,58828,,
"NOR","Norway","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,55780,,
"POL","Poland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,32527,,
"PRT","Portugal","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,28410,,
"SVK","Slovak Republic","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23619,,
"ESP","Spain","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,37922,,
"SWE","Sweden","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,47020,,
"CHE","Switzerland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,64824,,
"GBR","United Kingdom","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,47147,,
"EST","Estonia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30720,,
"LVA","Latvia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29876,,
"SVN","Slovenia","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,41445,,
"AUT","Austria","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,92,,
"BEL","Belgium","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"CZE","Czech Republic","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,96,,
"DNK","Denmark","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,95,,
"FIN","Finland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,96,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"GRC","Greece","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"HUN","Hungary","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"ISL","Iceland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,98,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,96,,
"ITA","Italy","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,89,,
"LUX","Luxembourg","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"NLD","Netherlands","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"NOR","Norway","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,96,,
"POL","Poland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"PRT","Portugal","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,87,,
"SVK","Slovak Republic","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,95,,
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,93,,
"SWE","Sweden","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,,
"GBR","United Kingdom","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,93,,
"EST","Estonia","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,95,,
"LVA","Latvia","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,92,,
"SVN","Slovenia","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,95,,
"AUT","Austria","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"BEL","Belgium","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"CZE","Czech Republic","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,95,,
"DNK","Denmark","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"FIN","Finland","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,94,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"DEU","Germany","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,91,,
"GRC","Greece","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"HUN","Hungary","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"ISL","Iceland","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,99,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,96,,
"ITA","Italy","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"LUX","Luxembourg","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,91,,
"NLD","Netherlands","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,96,,
"NOR","Norway","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,96,,
"POL","Poland","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"PRT","Portugal","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"SVK","Slovak Republic","SC_SNTWS","Quality of support network","L","Value","MN","Men","PC","Percentage","0","Units",,,94,,
